H,CH,,C,H2,,,,0.124E-09,0.260E+00,0.000E+00,0.300E+01,0.140E+02,,KIDA datasheet
H,1CH2,,CH,H2,,,,0.220E-09,0.320E+00,0.000E+00,0.150E+01,0.700E+01,,equal to H + 3CH2
H,3CH2,,CH,H2,,,,0.220E-09,0.320E+00,0.000E+00,0.150E+01,0.700E+01,,"Fulle & Hippler 1997, Böhland et al. 1987"
H,CH3,,3CH2,H2,,,,0.100E-09,0.000E+00,0.760E+04,0.100E+02,0.100E+03,,Baulch et al. [1992]
H,CH4,,CH3,H2,,,,0.589E-12,0.300E+01,0.404E+04,0.158E+01,0.100E+03,,Baulch et al. [1992]
H,C2H2,,C2H,H2,,,,0.100E-09,0.000E+00,0.112E+05,0.500E+01,0.100E+03,,Tsang and Hampson [1986]
H,C2H3,,C2H2,H2,,,,6.000E-11,0.000E+00,0.000E+00,0.160E+01,0.000E+00,,"Heinemann et al. [1988], Monks et al. [1995]"
H,C2H5,,C2H4,H2,,,,0.300E-11,0.000E+00,0.000E+00,0.200E+01,0.000E+00,,Camilleri et al. [1974]
H,C2H6,,C2H5,H2,,,,0.122E-10,0.150E+01,0.372E+04,0.200E+01,0.100E+03,,Baulch et al. [1992]
H,C3H5,,CH2CCH2,H2,,,,1.500E-11,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,"Hanning-Lee & Pilling [1992], Harding et al. [2007], Hébrard et al. [2013]"
H,C3H5,,CH3C2H,H2,,,,1.500E-11,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,"Hanning-Lee & Pilling [1992], Harding et al. [2007], Hébrard et al. [2013]"
H,C3H6,,CH3,C2H4,,,,0.219E-10,0.000E+00,0.164E+04,0.200E+01,0.210E+02,,"Tsang [1991], Seakins et al. [1993], Hébrard et al. [2013]"
H,C3H6,,C3H5,H2,,,,0.433E-12,0.250E+01,0.125E+04,0.180E+01,0.210E+02,,"Tsang [1991], Seakins et al. [1993], Hébrard et al. [2013]"
H,C3H7,,C3H6,H2,,,,0.300E-11,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,Hébrard et al. [2013]
H,C3H8,,C3H7,H2,,,,0.431E-11,0.254E+01,0.340E+04,0.300E+01,0.100E+03,,Tsang [1988]
H,C4H3,,C4H2,H2,,,,2.000E-11,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,By comparison with H+C2H3 reduced considering the size of the system
H,C4H5,,C4H4,H2,,,,3.000E-11,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,By comparison with H+C2H3 
H,C4H6,,C4H5,H2,,,,0.569E-11,0.700E+00,0.302E+04,0.200E+01,0.100E+03,,Weissman and Benson [1988]
H,C4H7,,C4H6,H2,,,,1.000E-11,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,k(H+C3H5)/3 considering the steric hindrance
H,C4H9,,C4H8,H2,,,,3.000E-12,0.000E+00,0.000E+00,0.300E+01,0.000E+00,,Tsang [1990]
H,C6H3,,C6H2,H2,,,,2.000E-11,0.000E+00,0.000E+00,1.000E+01,0.000E+00,,By comparison with H + C2H3
H,C6H6,,C6H5,H2,,,,0.415E-09,0.000E+00,0.805E+04,0.200E+01,0.100E+03,,Wang and Frenklach [1997]
